Accession,Length,Geo_Location
NC_045512,29903,China
MT635200,29494,USA: Connecticut
MT635201,29782,USA: Connecticut
MT635202,29561,USA: Connecticut
MT635203,29782,USA: Connecticut
MT635204,29782,USA: Connecticut
MT635205,29782,USA: Connecticut
MT635206,29561,USA: Connecticut
MT635207,29782,USA: Connecticut
MT635208,29782,USA: Connecticut
MT635209,29782,USA: Connecticut
MT635210,29782,USA: Connecticut
MT635211,29782,USA: Connecticut
MT635212,29782,USA: Connecticut
MT635213,29782,USA: Connecticut
MT635214,29782,USA: Connecticut
MT635215,29782,USA: Connecticut
MT635216,29782,USA: Connecticut
MT635217,29782,USA: Connecticut
MT635218,29782,USA: Connecticut
MT635219,29782,USA: Connecticut
MT635220,29782,USA: Connecticut
MT635221,29782,USA: Connecticut
MT635222,29782,USA: Connecticut
MT635223,29782,USA: Connecticut
MT635224,29782,USA: Connecticut
MT635225,29782,USA: Connecticut
MT635226,29782,USA: Connecticut
MT635227,29782,USA: Connecticut
MT635228,29782,USA: Connecticut
MT635229,29782,USA: Connecticut
MT635230,29782,USA: Connecticut
MT635231,29782,USA: Connecticut
MT635232,29782,USA: Connecticut
MT635233,29782,USA: Connecticut
MT635234,29782,USA: Connecticut
MT635235,29782,USA: Connecticut
MT635236,29782,USA: Connecticut
MT635237,29782,USA: Connecticut
MT635238,29782,USA: Connecticut
MT635239,29782,USA: Connecticut
MT635240,29782,USA: Connecticut
MT635241,29782,USA: Connecticut
MT635242,29782,USA: Connecticut
MT635243,29782,USA: Connecticut
MT635244,29782,USA: Connecticut
MT635245,29782,USA: Connecticut
MT635246,29782,USA: Connecticut
MT635247,29773,USA: Connecticut
MT635248,29782,USA: Connecticut
MT635249,29782,USA: Connecticut
MT635250,29782,USA: Connecticut
MT635251,29782,USA: Connecticut
MT635252,29782,USA: Connecticut
MT635253,29782,USA: Connecticut
MT635254,29605,USA: Connecticut
MT635255,29782,USA: Connecticut
MT635256,29782,USA: Connecticut
MT635257,29611,USA: Connecticut
MT635258,29782,USA: Connecticut
MT635259,29611,USA: Connecticut
MT635260,29611,USA: Connecticut
MT635261,29782,USA: Connecticut
MT635262,29782,USA: Connecticut
MT635263,29782,USA: Connecticut
MT635264,29782,USA: Connecticut
MT635265,29782,USA: New York
MT635266,29782,USA: New York
MT635267,29782,USA: New York
MT635268,29782,USA: New York
MT635269,29800,"India: Gujarat, Ahmedabad"
MT635270,29800,"India: Gujarat, Ahmedabad"
MT635271,29800,"India: Gujarat, Ahmedabad"
MT635272,29800,"India: Gujarat, Ahmedabad"
MT635328,29800,"India: Gujarat, Ahmedabad"
MT635339,29800,"India: Gujarat, Vadodara"
MT635391,29800,"India: Gujarat, Vadodara"
MT635392,29800,"India: Gujarat, Vadodara"
MT635393,29800,"India: Gujarat, Vadodara"
MT635397,29800,"India: Gujarat, Vadodara"
MT635403,29800,"India: Gujarat, Vadodara"
MT635404,29800,"India: Gujarat, Vadodara"
MT635405,29800,"India: Gujarat, Vadodara"
MT635406,29800,"India: Gujarat, Vadodara"
MT635407,29800,"India: Gujarat, Vadodara"
MT635408,29800,"India: Gujarat, Vadodara"
MT635409,29796,"India: Gujarat, Nadiad"
MT635410,29800,"India: Gujarat, Vadodara"
MT635443,29398,Russia: Moscow region
MT635444,29593,Russia: Moscow region
MT635445,29727,Russia: Moscow region
MT635641,29867,USA: Virginia
MT635642,29867,USA: Virginia
MT635643,29899,USA: Virginia
MT635644,29901,USA: Virginia
MT635645,29893,USA: Virginia
MT635646,29897,USA: Virginia
MT635647,29896,USA: Virginia
MT635648,29875,USA: Virginia
MT635649,29902,USA: Virginia
MT635650,29867,USA: Virginia
MT635651,29893,USA: Virginia
MT635652,29894,USA: Virginia
MT635653,29868,USA: Virginia
MT635654,29868,USA: Virginia
MT635655,29867,USA: Virginia
MT635672,29832,Bangladesh
MT635855,29800,"India: Gujarat, Mahemdavad"
MT635856,29800,"India: Gujarat, Dhanera"
MT635857,29800,"India: Gujarat, Mahemdavad"
MT635858,29800,"India: Gujarat, Nadiad"
MT636895,29525,Russia: Moscow region
MT627212,29853,"USA: Washington,King County"
MT627213,29843,"USA: Washington,King County"
MT627214,29844,"USA: Washington,King County"
MT627215,29808,"USA: Washington,King County"
MT627216,29868,"USA: Washington,King County"
MT627217,29858,USA: Washington
MT627218,29846,"USA: Washington,King County"
MT627219,29847,"USA: Washington,King County"
MT627220,29846,"USA: Washington,King County"
MT627221,29857,"USA: Washington,Snohomish County"
MT627222,29849,"USA: Washington,King County"
MT627223,29871,"USA: Washington,King County"
MT627224,29621,"USA: Washington,King County"
MT627225,29869,"USA: Washington,King County"
MT627226,29867,"USA: Washington,King County"
MT627227,29849,"USA: Washington,King County"
MT627228,29858,"USA: Washington,Snohomish County"
MT627229,29867,USA: Washington
MT627230,29844,"USA: Washington,Grant County"
MT627231,29851,"USA: Washington,Snohomish County"
MT627232,29849,"USA: Washington,King County"
MT627233,29858,"USA: Washington,Umatilla County"
MT627234,29852,"USA: Washington,Snohomish County"
MT627235,29859,"USA: Washington,King County"
MT627236,29855,"USA: Washington,King County"
MT627237,29851,"USA: Washington,King County"
MT627238,29859,"USA: Washington,King County"
MT627239,29706,"USA: Washington,King County"
MT627240,29855,"USA: Washington,King County"
MT627241,29868,"USA: Washington,Snohomish County"
MT627242,29853,"USA: Washington,King County"
MT627243,29857,"USA: Washington,Umatilla County"
MT627244,29855,"USA: Washington,Clark County"
MT627245,29862,"USA: Washington,King County"
MT627246,29857,"USA: Washington,King County"
MT627247,29851,"USA: Washington,King County"
MT627248,29869,"USA: Washington,King County"
MT627249,29875,"USA: Washington,Grant County"
MT627250,29857,"USA: Washington,King County"
MT627251,29866,USA: Washington
MT627252,29871,"USA: Washington,King County"
MT627253,29870,"USA: Washington,King County"
MT627254,29868,"USA: Washington,King County"
MT627255,29859,"USA: Washington,Snohomish County"
MT627256,29859,"USA: Washington,Snohomish County"
MT627257,29859,"USA: Washington,King County"
MT627258,29852,"USA: Washington,Snohomish County"
MT627259,29857,"USA: Washington,King County"
MT627260,29857,"USA: Washington,King County"
MT627261,29868,"USA: Washington,King County"
MT627262,29869,"USA: Washington,Snohomish County"
MT627263,29860,"USA: Washington,King County"
MT627264,29843,"USA: Washington,King County"
MT627265,29860,USA: Washington
MT627266,29859,"USA: Washington,Snohomish County"
MT627267,29860,"USA: Washington,Snohomish County"
MT627268,29857,"USA: Washington,Snohomish County"
MT627269,29868,"USA: Washington,King County"
MT627270,29868,"USA: Washington,King County"
MT627271,29863,USA: Washington
MT627272,29855,"USA: Washington,Snohomish County"
MT627273,29868,"USA: Washington,King County"
MT627274,29868,"USA: Washington,King County"
MT627275,29856,USA: Washington
MT627276,29850,USA: Washington
MT627277,29863,"USA: Washington,King County"
MT627278,29858,"USA: Washington,King County"
MT627279,29856,"USA: Washington,Snohomish County"
MT627280,29856,"USA: Washington,Grant County"
MT627281,29857,"USA: Washington,King County"
MT627282,29856,"USA: Washington,King County"
MT627283,29859,"USA: Washington,Snohomish County"
MT627284,29859,USA: Washington
MT627285,29848,"USA: Washington,King County"
MT627286,29852,"USA: Washington,Snohomish County"
MT627287,29868,"USA: Washington,King County"
MT627288,29857,"USA: Washington,King County"
MT627289,29862,"USA: Washington,King County"
MT627290,29868,"USA: Washington,King County"
MT627291,29857,"USA: Washington,Snohomish County"
MT627292,29858,"USA: Washington,King County"
MT627293,29865,"USA: Washington,King County"
MT627294,29860,"USA: Washington,King County"
MT627295,29858,"USA: Washington,King County"
MT627296,29859,"USA: Washington,King County"
MT627297,29851,"USA: Washington,King County"
MT627298,29859,"USA: Washington,Snohomish County"
MT627299,29859,USA: Washington
MT627300,29868,"USA: Washington,Snohomish County"
MT627301,29852,"USA: Washington,King County"
MT627302,29857,"USA: Washington,King County"
MT627303,29857,USA: Washington
MT627304,29858,"USA: Washington,King County"
MT627305,29862,"USA: Washington,King County"
MT627306,29858,"USA: Washington,King County"
MT627307,29855,USA: Washington
MT627308,29858,"USA: Washington,Snohomish County"
MT627309,29848,USA: Washington
MT627310,29857,"USA: Washington,Snohomish County"
MT627311,29854,USA: Washington
MT627312,29843,"USA: Washington,King County"
MT627313,29849,"USA: Washington,King County"
MT627314,29857,"USA: Washington,King County"
MT627315,29873,"USA: Washington,King County"
MT627316,29869,USA: Washington
MT627317,29868,USA: Washington
MT627318,29858,"USA: Washington,King County"
MT627325,29859,China
MT627407,29865,USA: CA
MT627408,29894,USA: CA
